"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 08 16:54:18 IST 2021","Wed Sep 08 16:54:26 IST 2021","7709","","test_welcome","TestCase_001_Welcome","","","test_welcomePage",""
"passed","Wed Sep 08 16:54:27 IST 2021","Wed Sep 08 16:54:35 IST 2021","8251","","test_welcome","TestCase_001_Welcome","","","test_welcomeMenu",""
